language,term,translation,parent,status
Spanish,acogedor,welcoming,,1
Spanish,compraran,buy; bought; get,,1
Spanish,céntrico,central,,1
Spanish,ideal,dream; ideals; ideal,,1
Spanish,vendiera,sell; sold,,1
Spanish,viera,saw; (I/he/she/it/you) picture; (I/he/she/it/you) meet,,1
Spanish,decidieran,decide; (they) decided; decided,,1
Spanish,condición,condition; conditions; talent,,1
Spanish,hablaran,talk; speak,,1
Spanish,ambiente,room; atmosphere,,1
Spanish,llamara,(I/he/she/it/you) telephone; (I/he/she/it/you) phone; (I/he/she/it/you) knock,,1
Spanish,a la perfección,perfectly,,1
Spanish,quemar,(to) be boiling; (to) scald; (to) tan,,1
Spanish,marco,setting; frame; (I) mark,,1
Spanish,desorden,mess,,1
Spanish,preguntarse,wonder; wondering,,1
Spanish,acostumbrado,used to; gotten used to; usual,,1
Spanish,ordenado,tidy; neat; asked for,,1
Spanish,enchufe,plug; socket; (I/he/she/it/you) plug in,,1
Spanish,herramienta,tool; tools,,1
Spanish,mantel,tablecloth,,1
Spanish,regar,water; shower; watering,,1
Spanish,disculparse,apologized; apologize; apologizing,,1
Spanish,poner la mesa,set the table,,1
Spanish,a fin de cuentas,in the end,,1
Spanish,por lo menos,at least; anyway,,1
Spanish,aliviado,relieved,,1
Spanish,positivo,positive,,1
Spanish,lástima,shame; pity,,1
Spanish,sufrir,(to) bear; (to) undergo; (to) suffer,,1
Spanish,pista,course; run; runway,,1
Spanish,debo haber,must have gotten,,1
Spanish,hacer ejercicio,working out; (to) exercise; exercise,,1
Spanish,energía,energy; firmness,,1
Spanish,cansarse,tired; tire; tires,,1
Spanish,dolido,hurt,,1
Spanish,victoria,Victoria; victory; gains,,1
Spanish,justo,just; exact; even,,1
Spanish,sucedido,succeeded; happened,,1
Spanish,desafío,challenge,,1
Spanish,doloroso,painful,,1
Spanish,bucear,scuba diving; scuba dive,,1
Spanish,palomitas de maíz,popcorn,,1
Spanish,hoy en día,nowadays,,1
Spanish,poco después,shortly after,,1
Spanish,jugoso,fat; juicy,,1
Spanish,olor,smell; odor; smelling,,1
Spanish,morirse de hambre,starving,,1
Spanish,duerma,sleep; sleeps,,1
Spanish,hierba,herb; grass; tea,,1
Spanish,repitamos,have seconds of,,1
Spanish,mantequilla de maní,peanut butter,,1
Spanish,para que,so that; so,,1
Spanish,guiso,stew; (I) cook; cook,,1
Spanish,cucharada,spoonful; tablespoon,,1
Spanish,casero,home; homemade,,1
Spanish,cocinemos,cook,,1
Spanish,recuerde,remind; (I) remember; remember,,1
Spanish,quiera,(I/he/she/it/you) want; wants; want,,1
Spanish,lasaña,lasagna,,1
Spanish,avena,oatmeal,,1
Spanish,despierte,wake up,,1
Spanish,calentar,warmer; warm; to heat,,1
Spanish,merendar,have a snack,,1
Spanish,disparo,shot; round,,1
Spanish,denunciar,(to) report; (to) reveal; (to) condemn,,1
Spanish,tener lugar,take place,,1
Spanish,testigo,control; warning light; marker,,1
Spanish,cárcel,prison; jail; clamp,,1
Spanish,prensa,press!; (you-formal) press; printing press,,1
Spanish,asesinato,murder; assassination,,1
Spanish,arrestar,arrest; arrested,,1
Spanish,atentado,attack,,1
Spanish,explotar,work; explode; trade,,1
Spanish,bomba,gas station; bomb; big news,,1
Spanish,delito,offense; crime,,1
Spanish,delincuente,criminal,,1
Spanish,arma,weapon; gun,,1
Spanish,atacar,attack; attacks; made,,1
Spanish,a propósito,speaking of which; deliberately; by the way,,1
Spanish,escuela secundaria,middle school,,1
Spanish,quedarse atrás,fall,,1
Spanish,unidad,car; vessel; unit,,1
Spanish,revisión,review; revision; check,,1
Spanish,atentamente,her; hardest; sincerely,,1
Spanish,jurar,promise,,1
Spanish,preparado,fixed; dressed; made,,1
Spanish,fatal,terrible; horrible; awful,,1
Spanish,composición,makeup; work; composition,,1
Spanish,resolver,work; (to) terminate; clearer,,1
Spanish,correctamente,right; correctly,,1
Spanish,totalmente,completely; totally,,1
Spanish,concentrarse,concentrate,,1
Spanish,laboratorio,laboratory; lab,,1
Spanish,experimento,experiment,,1
Spanish,desaprobar,fail,,1
Spanish,promedio,average; meant,,1
Spanish,caber,go; going; fit,,1
Spanish,camión,truck,,1
Spanish,regresemos,let's return,,1
Spanish,carril,lane,,1
Spanish,cruce,intersection,,1
Spanish,todo recto,straight,,1
Spanish,calle sin salida,dead end street,,1
Spanish,diagonal,diagonal street,,1
Spanish,túnel,tunnel,,1
Spanish,peatonal,pedestrian,,1
Spanish,ciclovía,bike lane,,1
Spanish,acceso,entrance; approach; access,,1
Spanish,acera,sidewalk,,1
Spanish,veámonos,let's see each other,,1
Spanish,bajémonos,let's get off,,1
Spanish,rotonda,roundabout,,1
Spanish,doblemos,let's turn,,1
Spanish,vámonos,let's go; let's leave,,1
Spanish,embotellamiento,traffic jam,,1
Spanish,hora pico,rush hour,,1
Spanish,moto,scooter; motor scooter; motorcycle,,1
Spanish,por anticipado,in advance,,1
Spanish,muy amable,friendly; how kind,,1
Spanish,placer,placer; it's; pleasure,,1
